 0.00 -13.6 -24.7  54.6 -111.0 -211.0  57.0 12.18 
 4.38 -14.8 -24.9  58.7 -102.0 -213.0  41.0  9.22 
 8.75 -13.4 -17.2  62.4 -111.0 -196.0  34.0  9.92 
13.12 -14.0 -25.0  43.8 -135.0 -229.0  54.0 18.08 
17.49  -7.1  -4.5  33.5 -128.0 -252.0  54.0 20.39
21.87  -0.9  -5.0  44.4  -82.0 -237.0  51.0 15.00 
26.24 -10.0  -0.4  44.6 -139.0 -228.0  77.0 20.19
30.61  -6.1  -4.8  21.1 -143.0 -241.0  57.0 23.53
34.98   1.2   1.6  21.0 -132.0 -226.0  80.0 24.31
39.36  -3.4  -3.9   4.1 -117.0 -217.0  79.0 25.91
43.73  -0.9   1.2   5.0 -112.0 -210.0  93.0 26.17
48.10  -1.0  -1.5  12.3  -98.0 -212.0  92.0 24.49
52.47  11.0  13.2  29.7  -90.0 -186.0 104.0 22.20
56.85  19.1  34.4  20.1  -83.0 -168.0 121.0 22.86
61.22  24.9  50.1   1.9  -82.0 -129.0  88.0 17.56
65.59  29.2  47.1 -10.6  -93.0 -123.0  53.0 17.86

